text@ztr1976f	@ztr1976f	0.217	5.378	там находится Черниковка / самый криминальный район города Уфа //
text@ztr1976f	@ztr1976f	7.4	15.268	ни в коей мере // просто мне повезло я училась всю жизнь занималась спортом и потому училась в спортивном классе в школе которая находится вот вот тут / а это уже центра // 
text@ztr1976f	@ztr1976f	25.731	53.678	ну мне бы хотелось верить я искренне надеюсь что / в какой-то мере она помогает вот / тем более что спасибо вам // эм / Тоня честно вручила мне / все те письма что пришли / в мой адрес в передачу До шестнадцати и старше / я их / все до единого внимательно прочла / спасибо вам большое // мм  люди пишут что / они помогают им // мм мне от этого very good  // и / будем дальше стараться //       
text@ztr1976f	@ztr1976f	64.164	65.867	у меня иного выхода просто нет //
text@ztr1976f	@ztr1976f	70.205	85.097	мне кажется если б ты щас была в Америке / ты б спросила а почему американцы такой спортивный народ / куда ни плюнь каждый американец спортсмэн // не ну у нас наверное спортсменов / равно как и музыкантов политиков // и ээ / столько же сколько и везде / у нас чуть больше нефтяных магнатов // 
text@ztr1976f	@ztr1976f	85.747	89.295	видите / поехали нефтяные магнаты // с мигалками //
text@ztr1976f	@ztr1976f	94.06	101.759	возили // то есть вышек я насмотрелась / еще больше я ээ / наверное насмотрелась на нефтяных магнатов //
text@ztr1976f	@ztr1976f	103.346	106.887	#нрзб# каждый третий человек у нас в Уфе это нефтяной магнат //  
text@ztr1976f	@ztr1976f	110.576	112.383	#нрзб# вумен ты имеешь в виду //
text@ztr1976f	@ztr1976f	112.699	116.516	нет // мне больше как-то по нотам чем по вышкам //
text@ztr1976f	@ztr1976f	120.484	122.2	мм / кто так говорит ? //
text@ztr1976f	@ztr1976f	125.814	127.411	я по-моему до четвертого помню //
text@ztr1976f	@ztr1976f	130.224	134.342	есть такие штуки // ээ / наверно / ты слышала / может быть / мулла //
text@ztr1976f	@ztr1976f	136.009	140.545	да // мм / ээ / мусульмане / вот у меня все они / муллы //
text@ztr1976f	@ztr1976f	143.054	145.708	мгм / а фамилия моя Рамазанова / открыть секрет ? //
text@ztr1976f	@ztr1976f	146.227	155.565	 ээ // есть такой священный праздник ээ / он татарский / у меня отец татарин // называется Рамазан байрам / это самый священный праздник татар // 
text@ztr1976f	@ztr1976f	159.434	168.695	мм // вы знаете / революция всех сравняла // точно помню что мой дед был председателем колхоза // аа / родители мои педагоги //
text@ztr1976f	@ztr1976f	169.878	180.569	нет / у меня нет ни бабушки ни дедушки / так случилось // и поэтому я совершенно городской человек и мм / скажу честно / меня / как-то / пре... красоты  средней полосы не прельщают //
text@ztr1976f	@ztr1976f	182.117	185.176	их масса // но не это //
text@ztr1976f	@ztr1976f	185.223	189.914	да я здесь впервые / благодаря передаче До шестнадцати и старше //
text@ztr1976f	@ztr1976f	193.464	194.429	Уфа //
text@ztr1976f	@ztr1976f	198.316	198.972	Лондон //
text@ztr1976f	@ztr1976f	205.928	214.733	лето я люблю не очень // мне больше по душе знаете ли осень и зима // и вот даже сейчас я сижу / с водой / уж больно у нас жарко // 
text@ztr1976f	@ztr1976f	214.785	226.98	знаешь / мне по большому счету последние // лет пять скучно // и я недавно / вывела теорию что скука это на самом деле двигатель / прогресса // 
text@ztr1976f	@ztr1976f	227.289	230.249	когда скучно / начинаешь искать //
text@ztr1976f	@ztr1976f	230.891	241.136	и вот именно в те моменты когда я пишу или / занимаюсь / непосредственно написанием песни либо ее сведением записью / мне не скучно // когда это заканчивается / мне опять становится скучно //
text@ztr1976f	@ztr1976f	241.321	243.453	и появляется новая песня //
text@ztr1976f	@ztr1976f	247.642	249.703	ну по большому счету / да //
text@ztr1976f	@ztr1976f	249.868	252.042	я / ммм / #смеется# //
